Geohash,Amenity,Bump,Crossing,Entrance,Give_Way,Junction,Noexit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Circle,Turning_Loop
dnq2x,7,0,31,0,0,6,2,123,0,0,0,0,24,13,0
dnq2y,9,0,0,0,0,2,6,0,0,2,0,0,25,70,0
dnq2z,5,3,0,0,0,0,8,0,0,2,0,3,0,59,0
9qh10,41,6,25,0,0,21,16,27,0,3,2,7,83,189,0
9qh11,20,0,27,0,0,0,3,55,0,0,3,0,77,81,0
9qh12,61,2,18,0,0,2,26,68,0,13,35,2,123,91,0
9qh13,49,5,18,0,0,11,13,10,0,9,5,5,49,113,0
9vg4h,45,11,46,2,0,14,1,18,0,1,2,11,73,23,0
9vg4k,84,0,123,5,0,18,0,91,0,9,0,0,149,8,0
9vg4j,88,0,36,0,0,0,0,40,0,1,1,0,12,4,0
9vg4m,116,0,1430,11,1,53,9,286,0,20,16,0,689,1,0
9vg4n,23,0,8,0,0,9,0,8,0,0,0,0,14,3,0
9vg4c,26,0,16,1,2,15,0,1,0,1,8,0,129,62,0
9vg4b,24,0,1,4,0,19,1,0,0,0,6,0,103,68,0
9vg4e,34,0,12,0,0,10,0,51,0,0,0,0,43,20,0
9vg4d,14,0,22,0,0,6,0,37,0,0,5,0,33,43,0
9vg4g,20,0,163,0,0,14,0,67,0,3,1,0,135,4,0
9vg4f,32,2,62,5,4,29,3,39,0,9,1,2,71,31,0
9vg4y,19,0,4,3,0,0,4,6,0,1,0,0,70,23,0
9vg4x,4,0,4,0,0,8,0,4,0,0,5,0,56,54,0
9vg4z,46,0,12,0,0,0,0,6,0,0,0,0,76,11,0
9vg4q,55,0,246,11,0,10,0,79,0,3,2,0,104,8,0
9vg4p,6,0,50,0,0,9,0,29,0,2,0,0,59,11,0
9vg4s,86,10,270,9,0,24,0,27,0,9,8,10,256,7,0
9vg4r,7,0,29,0,0,0,2,32,0,1,1,0,49,32,0
9vg4u,50,0,93,5,0,4,1,25,0,0,44,0,116,23,0
9vg4t,289,4,3015,31,0,22,40,357,0,59,60,4,1049,7,0
9vg4w,34,0,175,1,0,10,0,10,0,0,0,0,111,11,0
9vg4v,111,9,311,38,0,8,1,24,0,2,11,9,225,4,0
9qh1b,134,4,99,2,0,23,17,1,0,97,74,4,109,56,0
9qh1c,84,5,16,0,1,12,15,9,0,81,24,5,87,162,0
djgzy,37,0,11,0,0,3,0,4,0,1,2,0,3,4,0
dnq25,2,0,8,0,0,0,0,0,0,0,0,0,0,16,0
dnq27,8,0,11,0,0,0,1,9,0,0,0,0,3,33,0
9v6e1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9mgzc,13,0,2,0,0,0,0,0,0,0,1,0,4,23,0
9mgzf,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0
9mgzg,16,11,12,0,0,0,3,0,1,0,16,11,18,120,0
9mgzy,1,2,28,0,0,0,0,99,0,0,12,2,1,0,0
dnnr5,4,0,0,0,0,0,0,0,0,0,2,0,0,19,0
9mgzu,46,8,48,0,0,6,24,99,0,5,15,8,40,24,0
9vk0h,57,0,9,0,0,0,0,9,0,0,0,0,9,271,0
9vk0k,13,0,15,0,0,3,2,14,0,0,0,0,20,62,0
9vk0j,69,0,0,0,0,5,0,0,0,0,0,0,18,172,0
9vk0m,3,0,0,0,0,7,0,0,0,0,0,0,16,54,0
9vk0n,6,0,0,0,0,1,4,0,1,0,0,0,11,119,0
dhwgn,103,0,42,0,0,9,30,16,2,317,1,0,134,3,0
9vk0c,41,14,9,2,0,10,5,0,0,1,9,14,78,43,0
9vk0b,28,2,3,0,0,0,0,0,0,0,4,2,89,107,0
9vk0e,21,3,9,0,3,10,3,7,0,1,4,3,48,61,0
9vk0d,28,0,50,0,1,10,13,6,0,3,0,0,65,110,0
9vk0g,140,41,262,3,3,10,51,0,0,30,29,49,179,75,0
9vk0f,44,3,74,0,1,4,31,0,0,3,5,11,117,41,0
9vk0y,70,0,63,0,0,7,20,65,0,1,1,0,88,5,0
9vk0x,27,0,38,0,1,0,0,26,0,0,1,0,25,5,0
9vk0z,74,0,19,0,1,21,1,3,0,0,1,0,82,19,0
dhwgs,28,1,25,0,0,2,29,0,0,66,9,1,77,16,0
dhwgr,89,2,77,0,0,1,8,14,1,315,0,2,148,3,0
dhwgq,65,0,69,0,0,23,1,16,1,266,6,0,123,2,0
9vg3e,13,0,0,0,0,4,0,0,0,0,0,0,3,5,0
9vk0q,4,0,2,0,0,3,1,0,0,0,1,0,9,22,0
9vk0p,16,0,8,0,0,0,0,8,0,0,0,0,11,138,0
9vk0s,6,0,20,0,0,2,6,20,0,0,0,0,33,49,0
9vk0r,6,0,0,0,0,4,1,0,0,0,0,0,8,30,0
9vk0u,90,3,120,0,10,9,105,38,0,15,3,3,146,27,0
